Station,Station ID,Latitude,Longitude,Municipality,# of Docks
Harvard Law School at Mass Ave / Jarvis St,M32020,42.379011,-71.119945,Cambridge,19
Harvard Real Estate - Brighton Mills - 370 Western Ave,A32005,42.361667,-71.13802,Boston,15
Harvard Square at Brattle St / Eliot St,M32017,42.373231,-71.120886,Cambridge,15
Harvard Square at Mass Ave/ Dunster,M32018,42.373268,-71.118579,Cambridge,19
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,M32023,42.377945,-71.116865,Cambridge,17
Harvard University Gund Hall at Quincy St / Kirkland S,M32021,42.376369,-71.114025,Cambridge,15
Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,A32006,42.365064,-71.119233,Boston,15
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,M32014,42.366621,-71.114214,Cambridge,15
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,M32024,42.380287,-71.125107,Cambridge,19
Harvard University River Houses at DeWolfe St / Cowperthwaite St,M32038,42.36919032,-71.11714125,Cambridge,19
Harvard University Transportation Services - 175 North Harvard St,A32019,42.363796,-71.129164,Boston,19
Hayes Square at Vine St.,D32026,42.377022,-71.056605,Boston,19
Heath St at South Huntington,E32007,42.3279727,-71.11089706,Boston,15
HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,B32003,42.337171,-71.102797,Boston,17
Hyde Square at Barbara St,E32003,42.320998,-71.110833,Boston,15
ID Building East,C32020,42.344827,-71.028664,Boston,17
ID Building West,C32021,42.344796,-71.031614,Boston,19
Ink Block,C32025,42.345901,-71.063187,Boston,15
Inman Square at Vellucci Plaza / Hampshire St,M32010,42.374035,-71.101427,Cambridge,19
Innovation Lab - 125 Western Ave. at Batten Way,A32011,42.363732,-71.124565,Boston,15
Jackson Square T at Centre St,E32006,42.322701,-71.099533,Boston,19
JFK / UMASS at MBTA Station,C32013,42.320494,-71.051122,Boston,15
JFK Crossing at Harvard St. / Thorndike St.,K32004,42.346563,-71.128374,Brookline,15
John F Fitzgerald - Surface Road at India Street,A32013,42.358155,-71.052163,Boston,19
JP Center - Centre Street at Myrtle Street,E32002,42.313156,-71.11414,Boston,15
Kendall Street,M32032,42.36356016,-71.08216792,Cambridge,15
Kendall T,M32004,42.36242784,-71.08495474,Cambridge,23
Kenmore Sq / Comm Ave,B32010,42.348706,-71.097009,Boston,19
Lafayette Square at Mass Ave / Main St / Columbia St,M32009,42.36346469,-71.10057324,Cambridge,19
Landmark Centre,B32015,42.343912,-71.102221,Boston,11
Lawn on D,C32028,42.344792,-71.044024,Boston,18
Lechmere Station at Cambridge St / First St,M32001,42.370677,-71.076529,Cambridge,19
Lesley University,M32039,42.38674802,-71.11901879,Cambridge,15
Lewis Wharf - Atlantic Ave.,D32006,42.363871,-71.050877,Boston,15
Linear Park - Mass. Ave. at Cameron Ave. ,M32025,42.397828,-71.130516,Cambridge,19
Longwood Ave / Binney St,A32004,42.338629,-71.1065,Boston,15
Lower Cambridgeport at Magazine St/Riverside Rd,M32022,42.356954,-71.113687,Cambridge,19
Magoun Square at Trum Field,S32013,42.398365,-71.107818,Somerville,15
Mass Ave at Newmarket Square,C32022,42.326599,-71.066498,Boston,15
Mayor Martin J Walsh - 28 State St,B32008,42.35892,-71.057629,Boston,21
MIT at Mass Ave / Amherst St,M32006,42.3581,-71.093198,Cambridge,27
MIT Pacific St at Purrington St,M32041,42.3595732,-71.10129476,Cambridge,19
MIT Stata Center at Vassar St / Main St,M32005,42.3619622,-71.0920526,Cambridge,35
MIT Vassar St,M32042,42.35560121,-71.10394478,Cambridge,25
Mt Auburn,M32043,42.37478629,-71.13320231,Cambridge,19
Mt Pleasant Ave / Dudley Town Common,C32015,42.325333,-71.075354,Boston,15
Nashua Street at Red Auerbach Way,A32025,42.36559771,-71.06424809,Boston,19
New Balance - 20 Guest St.,D32001,42.357402,-71.147782,Boston,15
New Balance Store - Boylston at Dartmouth,D32027,42.350413,-71.07655,Boston,15
Newbury St / Hereford St,B32000,42.348717,-71.085954,Boston,19
Northeastern U / North Parking Lot,B32012,42.341814,-71.090179,Boston,15
One Broadway / Kendall Sq at Main St / 3rd St,M32003,42.362613,-71.084105,Cambridge,15
One Kendall Square at Hampshire St / Portland St,M32002,42.366277,-71.09169,Cambridge,21
Packard Ave / Powderhouse Blvd,S32009,42.40449,-71.123413,Somerville,15
Packard's Corner - Comm. Ave. at Brighton Ave.,A32012,42.352261,-71.123831,Boston,19
Porter Square Station,M32029,42.387995,-71.119084,Cambridge,19
Post Office Square,D32012,42.356755,-71.055407,Boston,19
Powder House Circle - Nathan Tufts Park,S32008,42.400877,-71.116772,Somerville,15
Prudential Center / Belvidere,C32007,42.345959,-71.082578,Boston,25
Purchase St at Pearl St,A32026,42.354686,-71.053292,Boston,19
Rindge Avenue - O'Neill Library,M32036,42.392766,-71.129042,Cambridge,19
Rowes Wharf - Atlantic Ave,D32008,42.357143,-71.050699,Boston,15
Roxbury Crossing Station,C32001,42.331184,-71.095171,Boston,15
Ruggles Station / Columbus Ave.,B32002,42.335911,-71.088496,Boston,15
Ryan Playground - Dorchester Avenue Station,C32031,42.317642,-71.056664,Boston,15
Savin Hill MBTA Station,C32033,42.310599,-71.053927,Boston,14
Seaport Hotel,B32014,42.348833,-71.041747,Boston,15
Seaport Square - Seaport Blvd. at Boston Wharf,B32007,42.351205,-71.043983,Boston,19
Somerville City Hall,S32001,42.386844,-71.09812,Somerville,15
Somerville Hospital at Highland Ave / Crocker St,S32010,42.39082,-71.10942,Somerville,15
South Boston Library - 646 East Broadway,C32017,42.335741,-71.03877,Boston,15
South Station - 700 Atlantic Ave.,A32010,42.352175,-71.055547,Boston,47
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,D32023,42.378338,-71.048927,Boston,19
State Street at Channel Center,C32024,42.344137,-71.052608,Boston,19
Stuart St. at Charles St.,D32011,42.351146,-71.066289,Boston,19
TD Garden - Causeway at Portal Park #1,D32022,42.365942,-71.060515,Boston,27
TD Garden - Causeway at Portal Park #2,D32003,42.366222,-71.059914,Boston,27
Teele Square at 239 Holland St,S32011,42.402763,-71.126908,Somerville,15
The Esplanade - Beacon St. at Arlington St.,D32017,42.355596,-71.07278,Boston,15
Tremont St / W Newton St,A32009,42.341332,-71.076847,Boston,15
Tremont St / West St,D32014,42.354979,-71.063348,Boston,15
Tremont St. at Berkeley St.,C32000,42.345392,-71.069616,Boston,15
UMass Boston Integrated Sciences Complex,C32014,42.314507,-71.041269,Boston,19
Union Square - Brighton Ave. at Cambridge St.,A32001,42.353334,-71.137313,Boston,15
Union Square - Somerville,S32002,42.379637,-71.095319,Somerville,19
University Park,M32040,42.36264779,-71.10006094,Cambridge,19
Upham's Corner - Ramsey St at Dudley St,C32019,42.317225,-71.065421,Boston,15
Washington Square at Washington St. / Beacon St.,K32002,42.339335,-71.13493,Brookline,15
Washington St at Brock St,D32029,42.34900494,-71.16041064,Boston,15
Washington St. at Lenox St.,C32005,42.3348756,-71.0790969,Boston,15
Washington St. at Rutland St.,C32006,42.338623,-71.074182,Boston,19
Washington St. at Waltham St.,D32002,42.341522,-71.068922,Boston,15
Wentworth Institute of Technology,B32021,42.337596,-71.096391,Boston,14
West Broadway at D Street,C32029,42.3391085,-71.0514432,Boston,18
West Broadway at Dorchester St,C32016,42.335693,-71.045859,Boston,17
Wilson Square,S32005,42.385582,-71.113341,Somerville,15
Yawkey Way at Boylston St.,B32011,42.344706,-71.097515,Boston,19
